Shortname,AbsoluteIdxToSubfolders,State1Tracks,State2Tracks,Occupancy1,Occupancy2,Lifetime1,Lifetime2
Gi1 D2 ins4A Quinpirole (100 ng),156,481,296,0.55381145417416,0.44618854582584,37.7754677754678,49.4560810810811
Gi1 D2 ins4A No treat (100 ng),157,605,370,0.505431127595834,0.494568872404166,40.9933884297521,65.5891891891892
Gi1 D2 ins4A No treat (100 ng),158,2650,1208,0.631595795080603,0.368404204919397,37.2279245283019,47.635761589404
Gi1 D2 ins4A No treat (100 ng),159,0,0,0,0,0,0
Gi1 D2 ins4A No treat (100 ng),160,621,330,0.605548093528138,0.394451906471862,35.573268921095,43.6060606060606
Gi1 D2 ins4A No treat (100 ng),161,1310,824,0.607732096048445,0.392267903951555,33.0954198473282,33.9611650485437
Gi1 D2 ins4A No treat (100 ng),162,2097,717,0.987550210521221,0.0124497894787785,38.9237005245589,1.43514644351464
Gi1 D2 ins4A No treat (100 ng),163,2222,1288,0.605545809315814,0.394454190684186,30.4473447344734,34.2158385093168
Gi1 D2 ins4A No treat (100 ng),164,1014,546,0.976926998095136,0.0230730019048641,35.9102564102564,1.57509157509158
Gi1 D2 ins4A No treat (100 ng),165,1111,639,0.634236635569377,0.365763364430623,30.8406840684068,30.9233176838811
Gi1 D2 ins4A Sulpiride (1200 ng),166,346,257,0.563242852553807,0.436757147446193,40.5404624277457,42.3229571984436
Gi1 D2 ins4A Sulpiride (1200 ng),167,550,371,0.565443037974684,0.434556962025316,40.6090909090909,46.266846361186
Gi1 D2 ins4A Sulpiride (1200 ng),168,502,322,0.573814347306633,0.426185652693367,44.0099601593625,50.9596273291925
Gi1 D2 ins4A Sulpiride (1200 ng),169,636,447,0.495293332839195,0.504706667160805,42.0267295597484,60.9328859060403
Gi1 D2 ins4A Sulpiride (1200 ng),170,1547,1111,0.533895401483077,0.466104598516923,28.2036199095023,34.2853285328533
Gi1 D2 ins4A Sulpiride (1200 ng),171,476,244,0.564795026228871,0.435204973771129,42.75,64.2622950819672
Gi1 D2 ins4A Sulpiride (1200 ng),172,571,375,0.554947071277347,0.445052928722654,34.4290718038529,42.0426666666667
Gi1 D2 ins4A Sulpiride (1200 ng),173,784,467,0.59233759922242,0.40766240077758,37.3112244897959,43.1092077087794
Gi1 D2 ins4A Sulpiride (1200 ng),174,695,478,0.545212922173275,0.454787077826725,53.4230215827338,64.7928870292887
Gi1 D2 ins4A Sulpiride (1200 ng),175,1005,590,0.603560729589322,0.396439270410678,31.6746268656716,35.4389830508475
Empty,176,2010,1180,0.603560729589322,0.396439270410678,31.6746268656716,35.4389830508475
Gi1 D2 ins4A Sulpiride (1200 ng),177,539,435,0.458707500648845,0.541292499351155,32.7903525046382,47.9448275862069
Gi1 D2 ins4A Sulpiride (1200 ng),178,1047,499,0.61409357561883,0.38590642438117,40.9923591212989,54.0501002004008
Gi1 D2 ins4A No treat (1200 ng),179,0,0,0,0,0,0
Gi1 D2 ins4A No treat (1200 ng),180,836,732,0.374726875455208,0.625273124544792,36.9258373205742,70.3688524590164
Gi1 D2 ins4A No treat (1200 ng),181,0,0,0,0,0,0
Empty,182,0,0,0,0,0,0
Gi1 D2 ins4A No treat (1200 ng),183,92,92,0.278280125484407,0.721719874515593,49.1739130434783,127.532608695652
Gi1 D2 ins4A No treat (1200 ng),184,582,788,0.210510527401241,0.789489472598759,38.5841924398625,106.875634517766
Gi1 D2 ins4A No treat (1200 ng),185,0,0,0,0,0,0
Gi1 D2 ins4A No treat (1200 ng),186,1404,1445,0.374763383973208,0.625236616026792,21.9978632478632,35.6588235294118
Gi1 D2 ins4A No treat (1200 ng),187,560,631,0.354906676737761,0.645093323262239,31.8839285714286,51.43264659271
Gi1 D2 ins4A No treat (1200 ng),188,298,492,0.145531835815002,0.854468164184998,21.0234899328859,74.7642276422764
Gi1 D2 ins4A No treat (1200 ng),189,562,439,0.369389192043654,0.630610807956346,37.3398576512456,81.6059225512528
